ItemID,ItemCode,ItemName,ItemCategory,UnitOfMeasure,QuantityOnHand,ReorderLevel,UnitCost,PrimarySupplierID,WarehouseLocation,CreatedAt
213,ITM-00213,Fuselage Barrel Section,FinishedGood,each,813.42,253.6,83670.39,9,WH-D-04,2023-03-10 04:45:07
214,ITM-00214,Composite Skin Panel,Component,box,1115.11,457.93,157.63,12,WH-C-10,2024-02-17 14:57:18
215,ITM-00215,Abrasive Grinding Disc,Consumable,pack,1310.04,363.6,19.74,52,WH-B-07,2025-01-15 10:00:07
216,ITM-00216,Cleanroom Wipes Pack,Consumable,drum,790.1,430.1,52.45,20,WH-B-09,2023-11-23 20:33:28
217,ITM-00217,Fuel Line Coupling,Component,box,515.99,192.43,45.06,47,WH-B-08,2025-10-20 06:16:33
218,ITM-00218,Wing Rib Sub-Assembly,SubAssembly,each,732.01,335.23,1481.55,50,WH-A-10,2024-01-13 22:08:21
219,ITM-00219,Wing Rib Sub-Assembly,SubAssembly,each,164.9,133.3,4398.3,42,WH-B-07,2025-10-08 18:58:23
220,ITM-00220,Empennage Assembly,FinishedGood,each,411.33,226.83,58419.64,18,WH-A-09,2024-09-07 09:50:00
221,ITM-00221,Inconel 718 Bar Stock,RawMaterial,sheet,30.63,37.6,298.51,15,WH-A-04,2023-09-05 02:39:03
222,ITM-00222,Kevlar Fabric Roll,RawMaterial,roll,391.75,300.97,349.28,1,WH-D-06,2025-04-23 23:43:55
223,ITM-00223,Pressure Sensor Housing,Component,box,439.49,274.96,14.64,21,WH-B-09,2025-11-21 11:39:39
224,ITM-00224,Aluminum 7075-T6 Billet,RawMaterial,sheet,544.34,171.75,210.29,59,WH-B-02,2025-10-22 15:40:16
225,ITM-00225,Empennage Assembly,FinishedGood,each,49.01,22.37,124590.17,60,WH-B-09,2024-06-26 10:41:19
226,ITM-00226,Titanium Ti-6Al-4V Sheet,RawMaterial,roll,336.62,254.65,271.74,19,WH-C-10,2025-12-12 09:04:45
227,ITM-00227,Protective Coating Spray,Consumable,spool,163.95,116.89,45.49,18,WH-B-03,2024-07-06 02:42:32
228,ITM-00228,Stainless Steel 15-5PH Rod,RawMaterial,sheet,1286.05,436.71,83.2,1,WH-C-02,2025-02-25 20:45:35
229,ITM-00229,Fuselage Frame Section,SubAssembly,each,922.94,258.64,4779.57,53,WH-C-08,2025-09-09 06:17:01
230,ITM-00230,Abrasive Grinding Disc,Consumable,each,451.4,350.97,65.82,31,WH-C-01,2025-12-10 22:41:12
231,ITM-00231,Aerospace Grade Rivet,Component,box,166.53,71.16,249.86,22,WH-B-10,2023-10-20 08:36:39
232,ITM-00232,Welding Filler Wire Spool,Consumable,each,910.37,437.96,41.61,43,WH-A-08,2023-09-16 18:01:54
233,ITM-00233,Landing Gear Unit,FinishedGood,each,443.79,176.98,203497.14,46,WH-B-10,2025-09-07 03:42:38
234,ITM-00234,Carbon Fiber Prepreg Roll,RawMaterial,roll,683.77,412.56,61.28,10,WH-C-10,2023-05-27 06:11:15
235,ITM-00235,Abrasive Grinding Disc,Consumable,spool,785.66,210.16,38.58,52,WH-B-04,2025-04-09 07:10:18
236,ITM-00236,Wiring Harness Clip,Component,each,333.64,129.09,152.84,59,WH-D-07,2024-02-01 03:42:22
237,ITM-00237,Titanium Ti-6Al-4V Sheet,RawMaterial,sheet,293.25,202.3,347.38,34,WH-C-09,2023-12-26 06:55:53
238,ITM-00238,Inconel 718 Bar Stock,RawMaterial,bar,93.01,202.49,168.55,30,WH-A-09,2025-06-04 12:25:40
239,ITM-00239,Cleanroom Wipes Pack,Consumable,spool,1097.94,410.23,2.74,20,WH-A-02,2025-01-06 16:20:07
240,ITM-00240,Landing Gear Unit,FinishedGood,each,904.69,330.79,33861.5,23,WH-A-05,2023-02-19 14:12:57
241,ITM-00241,Aerospace Sealant Cartridge,Consumable,each,456.13,188.78,32.11,12,WH-A-09,2023-11-11 08:44:37
242,ITM-00242,Landing Gear Unit,FinishedGood,each,1520.98,405.45,184714.66,6,WH-D-05,2024-02-18 08:36:14
243,ITM-00243,Landing Gear Bushing,Component,each,570.67,218.5,49.38,47,WH-B-05,2024-08-02 01:58:54
244,ITM-00244,Titanium Ti-6Al-4V Sheet,RawMaterial,roll,1137.69,360.34,56.15,25,WH-B-05,2024-04-09 10:05:04
245,ITM-00245,Fuel Line Coupling,Component,box,636.95,406.88,15.64,49,WH-A-08,2025-08-16 08:28:14
246,ITM-00246,Kevlar Fabric Roll,RawMaterial,kg,496.63,413.21,355.42,29,WH-D-09,2024-10-12 08:51:07
247,ITM-00247,Inconel 718 Bar Stock,RawMaterial,kg,720.6,423.13,361.51,56,WH-A-04,2023-08-26 21:50:05
248,ITM-00248,Composite Skin Panel,Component,box,1555.35,414.85,168.55,37,WH-D-09,2024-09-22 20:10:46
249,ITM-00249,Flap Actuator Assembly,SubAssembly,each,1193.34,301.57,6970.98,27,WH-B-10,2024-07-24 18:28:39
250,ITM-00250,Wing Rib Sub-Assembly,SubAssembly,each,71.53,31.35,4600.23,23,WH-C-05,2024-06-26 16:54:51
