MaintenanceLogID,MachineID,OperatorID,MaintenanceType,StartTime,EndTime,DescriptionOfWork,Cost,Status,MaintenanceDurationHours,IsUnplanned
183,6,60,Preventive,2025-10-17 04:29:17,2025-10-17 07:54:21,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1023.24,Completed,3.418,0
184,33,70,Preventive,2024-03-20 07:53:37,2024-03-20 13:34:44,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1172.72,Completed,5.685,0
185,6,50,Predictive,2024-12-08 09:30:15,2024-12-08 10:30:51,Maintenance triggered by predictive analytics / sensor anomaly threshold.,931.28,Completed,1.01,0
186,26,3,Preventive,2025-07-04 01:01:20,2025-07-04 04:32:44,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1176.05,InProgress,3.523,0
187,24,60,Preventive,2024-02-25 23:32:16,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1070.3,Cancelled,0.0,0
188,3,73,Predictive,2024-05-09 03:46:48,2024-05-09 08:14:27,Maintenance triggered by predictive analytics / sensor anomaly threshold.,786.55,Completed,4.461,0
189,33,60,Emergency,2023-09-14 00:44:17,2023-09-14 19:13:03,Unplanned emergency repair following unexpected machine failure.,12807.37,Completed,18.479,1
190,35,22,Preventive,2024-10-07 17:50:09,2024-10-07 21:48:03,Routine scheduled preventive maintenance performed per manufacturer guidelines.,942.1,Completed,3.965,0
191,22,19,Emergency,2025-06-14 21:35:46,2025-06-15 08:10:28,Unplanned emergency repair following unexpected machine failure.,6821.11,Completed,10.578,1
192,6,65,Predictive,2025-10-20 13:15:46,2025-10-20 18:12:03,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3374.3,Completed,4.938,0
193,28,36,Preventive,2024-02-27 18:22:57,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,825.9,Scheduled,0.0,0
194,10,46,Corrective,2024-05-22 06:25:39,2024-05-22 11:40:37,Corrective repair performed following identified fault or performance degradation.,1189.52,Completed,5.249,1
195,7,53,Emergency,2024-11-06 17:21:18,2024-11-07 03:58:30,Unplanned emergency repair following unexpected machine failure.,8301.43,Completed,10.62,1
196,12,23,Corrective,2025-10-26 03:16:37,2025-10-26 14:18:57,Corrective repair performed following identified fault or performance degradation.,3778.28,Completed,11.039,1
197,6,70,Emergency,2025-06-24 23:52:42,2025-06-25 10:08:43,Unplanned emergency repair following unexpected machine failure.,9072.8,Completed,10.267,1
198,5,59,Emergency,2023-11-13 13:58:29,2023-11-14 11:16:17,Unplanned emergency repair following unexpected machine failure.,2684.16,Completed,21.297,1
199,16,46,Preventive,2024-06-13 07:26:27,2024-06-13 09:46:31,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1363.96,Completed,2.334,0
200,5,2,Predictive,2023-08-12 06:51:04,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2063.94,Scheduled,0.0,0
201,8,29,Corrective,2023-03-02 05:48:25,2023-03-02 09:50:47,Corrective repair performed following identified fault or performance degradation.,1228.54,InProgress,4.039,1
202,6,54,Preventive,2025-11-25 03:47:32,2025-11-25 06:47:56,Routine scheduled preventive maintenance performed per manufacturer guidelines.,828.01,InProgress,3.007,0
203,30,30,Corrective,2024-05-17 07:01:44,,Corrective repair performed following identified fault or performance degradation.,5452.32,Scheduled,0.0,1
204,15,20,Preventive,2025-12-17 07:43:53,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,252.22,Scheduled,0.0,0
205,29,49,Corrective,2023-01-10 23:27:51,2023-01-11 01:46:21,Corrective repair performed following identified fault or performance degradation.,5241.99,Completed,2.308,1
206,16,48,Preventive,2023-09-13 20:42:59,2023-09-14 01:51:01,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1448.1,InProgress,5.134,0
207,10,74,Preventive,2024-02-06 08:08:44,2024-02-06 14:01:11,Routine scheduled preventive maintenance performed per manufacturer guidelines.,209.7,Completed,5.874,0
208,26,79,Preventive,2023-12-31 17:21:47,2023-12-31 20:12:58,Routine scheduled preventive maintenance performed per manufacturer guidelines.,953.11,Completed,2.853,0
209,32,46,Preventive,2023-06-04 17:49:56,2023-06-04 22:27:30,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1284.07,Completed,4.626,0
210,7,17,Preventive,2024-02-26 09:14:53,2024-02-26 13:15:15,Routine scheduled preventive maintenance performed per manufacturer guidelines.,517.03,InProgress,4.006,0
211,35,8,Preventive,2024-01-20 11:12:16,2024-01-20 16:56:44,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1150.75,Completed,5.741,0
212,11,65,Preventive,2024-09-10 16:40:21,2024-09-10 19:10:32,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1435.49,InProgress,2.503,0
213,34,35,Preventive,2023-06-03 13:46:21,2023-06-03 18:50:57,Routine scheduled preventive maintenance performed per manufacturer guidelines.,494.6,Completed,5.077,0
214,10,78,Predictive,2024-02-11 19:34:40,2024-02-12 01:44:57,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3811.16,InProgress,6.171,0
215,32,59,Preventive,2023-10-18 13:45:18,2023-10-18 18:53:28,Routine scheduled preventive maintenance performed per manufacturer guidelines.,268.93,Completed,5.136,0
216,21,43,Preventive,2023-09-09 23:49:53,2023-09-10 02:14:24,Routine scheduled preventive maintenance performed per manufacturer guidelines.,349.95,Completed,2.409,0
217,9,44,Predictive,2024-02-12 23:11:50,2024-02-13 05:08:05,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1043.72,Completed,5.938,0
218,28,1,Corrective,2023-01-15 01:18:01,2023-01-15 08:41:34,Corrective repair performed following identified fault or performance degradation.,3835.91,Completed,7.392,1
219,32,27,Preventive,2024-12-12 02:52:27,2024-12-12 04:12:18,Routine scheduled preventive maintenance performed per manufacturer guidelines.,263.05,Completed,1.331,0
220,14,9,Corrective,2024-04-19 07:08:16,2024-04-19 17:12:26,Corrective repair performed following identified fault or performance degradation.,3649.52,InProgress,10.069,1
221,24,19,Corrective,2023-03-14 10:47:20,2023-03-14 17:00:49,Corrective repair performed following identified fault or performance degradation.,880.09,Completed,6.225,1
222,17,67,Preventive,2025-08-29 14:55:49,2025-08-29 20:53:51,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1291.16,Completed,5.967,0
223,24,3,Predictive,2023-12-31 05:06:56,2023-12-31 11:53:39,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1455.97,Completed,6.779,0
224,5,57,Preventive,2024-09-16 03:27:51,2024-09-16 05:41:58,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1104.44,InProgress,2.235,0
225,26,77,Predictive,2025-06-12 18:11:37,2025-06-12 21:15:23,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1181.72,Completed,3.063,0
226,20,4,Preventive,2024-02-07 10:26:16,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,898.26,Scheduled,0.0,0
227,5,79,Emergency,2023-04-01 02:16:47,2023-04-02 00:14:50,Unplanned emergency repair following unexpected machine failure.,11802.85,Completed,21.968,1
228,18,25,Preventive,2024-10-29 17:23:32,2024-10-29 18:57:33,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1422.05,Completed,1.567,0
229,11,45,Corrective,2025-02-09 00:46:07,2025-02-09 10:39:24,Corrective repair performed following identified fault or performance degradation.,4113.57,Completed,9.888,1
230,23,69,Corrective,2024-01-23 22:34:49,2024-01-24 06:11:05,Corrective repair performed following identified fault or performance degradation.,5949.96,Completed,7.604,1
231,20,63,Preventive,2024-12-20 22:12:28,2024-12-21 02:40:06,Routine scheduled preventive maintenance performed per manufacturer guidelines.,496.23,Completed,4.461,0
232,34,4,Preventive,2025-05-31 06:10:13,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,440.19,Scheduled,0.0,0
233,1,8,Preventive,2025-04-16 22:01:22,2025-04-17 03:13:10,Routine scheduled preventive maintenance performed per manufacturer guidelines.,373.55,Completed,5.197,0
234,25,58,Predictive,2025-10-02 04:43:26,2025-10-02 12:39:00,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1147.71,Completed,7.926,0
235,35,13,Corrective,2024-05-03 01:56:39,2024-05-03 13:23:36,Corrective repair performed following identified fault or performance degradation.,3328.4,InProgress,11.449,1
236,30,31,Corrective,2023-11-12 03:20:22,2023-11-12 12:56:02,Corrective repair performed following identified fault or performance degradation.,2203.34,Completed,9.594,1
237,15,64,Predictive,2024-03-07 21:43:11,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2883.51,Scheduled,0.0,0
238,27,49,Corrective,2023-05-07 17:28:37,2023-05-08 02:10:37,Corrective repair performed following identified fault or performance degradation.,2676.23,Completed,8.7,1
239,31,61,Emergency,2025-01-25 12:53:00,,Unplanned emergency repair following unexpected machine failure.,5500.97,Cancelled,0.0,1
240,7,72,Emergency,2025-11-26 19:16:59,2025-11-27 09:24:58,Unplanned emergency repair following unexpected machine failure.,9645.1,Completed,14.133,1
241,10,66,Preventive,2023-02-19 20:47:04,2023-02-19 22:12:57,Routine scheduled preventive maintenance performed per manufacturer guidelines.,290.99,Completed,1.431,0
242,15,41,Corrective,2024-06-15 14:04:32,2024-06-15 20:02:41,Corrective repair performed following identified fault or performance degradation.,1904.2,Completed,5.969,1
243,25,22,Corrective,2023-04-04 04:29:12,,Corrective repair performed following identified fault or performance degradation.,5737.47,Scheduled,0.0,1
244,32,61,Preventive,2025-10-16 07:09:06,2025-10-16 08:48:46,Routine scheduled preventive maintenance performed per manufacturer guidelines.,618.92,Completed,1.661,0
245,20,66,Corrective,2024-07-24 03:15:42,2024-07-24 14:08:25,Corrective repair performed following identified fault or performance degradation.,2351.12,InProgress,10.879,1
246,23,21,Emergency,2023-04-07 02:02:05,2023-04-07 13:21:41,Unplanned emergency repair following unexpected machine failure.,13917.09,Completed,11.327,1
247,5,26,Corrective,2023-08-23 03:57:21,,Corrective repair performed following identified fault or performance degradation.,3042.64,Cancelled,0.0,1
248,7,41,Corrective,2023-04-16 22:31:35,2023-04-17 09:34:17,Corrective repair performed following identified fault or performance degradation.,4155.71,InProgress,11.045,1
249,22,27,Preventive,2024-01-15 16:49:27,2024-01-15 21:19:47,Routine scheduled preventive maintenance performed per manufacturer guidelines.,552.33,Completed,4.506,0
250,17,35,Emergency,2024-06-10 13:42:38,2024-06-10 19:30:52,Unplanned emergency repair following unexpected machine failure.,2461.22,Completed,5.804,1
251,17,59,Preventive,2023-02-24 12:38:38,2023-02-24 14:56:51,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1196.92,Completed,2.304,0
252,3,64,Preventive,2023-07-05 04:52:15,2023-07-05 08:31:34,Routine scheduled preventive maintenance performed per manufacturer guidelines.,503.41,Completed,3.655,0
253,26,25,Predictive,2023-03-16 16:14:25,2023-03-16 17:35:01,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1506.39,Completed,1.343,0
254,14,76,Preventive,2023-03-31 06:55:27,2023-03-31 09:37:45,Routine scheduled preventive maintenance performed per manufacturer guidelines.,258.06,Completed,2.705,0
255,30,31,Emergency,2023-01-01 18:25:30,2023-01-02 06:13:12,Unplanned emergency repair following unexpected machine failure.,5980.89,Completed,11.795,1
256,33,26,Corrective,2024-09-13 08:23:48,2024-09-13 13:06:07,Corrective repair performed following identified fault or performance degradation.,3373.56,Completed,4.705,1
257,26,78,Preventive,2023-03-14 11:40:28,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,655.07,Scheduled,0.0,0
258,28,71,Preventive,2023-06-07 22:08:17,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,331.04,Scheduled,0.0,0
259,6,76,Preventive,2025-02-07 11:55:04,2025-02-07 14:46:37,Routine scheduled preventive maintenance performed per manufacturer guidelines.,625.82,Completed,2.859,0
260,24,50,Emergency,2023-04-29 09:46:05,2023-04-30 05:19:17,Unplanned emergency repair following unexpected machine failure.,4818.41,Completed,19.553,1
261,26,43,Emergency,2025-08-25 05:49:16,2025-08-25 23:00:37,Unplanned emergency repair following unexpected machine failure.,11536.19,Completed,17.189,1
262,8,80,Corrective,2023-08-24 07:22:07,2023-08-24 18:27:07,Corrective repair performed following identified fault or performance degradation.,3432.32,Completed,11.083,1
263,35,29,Corrective,2025-07-21 22:43:37,2025-07-22 01:00:30,Corrective repair performed following identified fault or performance degradation.,5617.43,Completed,2.281,1
264,9,71,Preventive,2023-08-16 13:23:26,2023-08-16 17:08:20,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1008.84,Completed,3.748,0
265,15,52,Corrective,2025-08-22 20:58:28,2025-08-22 23:27:12,Corrective repair performed following identified fault or performance degradation.,5209.29,Completed,2.479,1
266,12,36,Corrective,2023-05-14 01:27:47,2023-05-14 10:43:34,Corrective repair performed following identified fault or performance degradation.,1589.07,Completed,9.263,1
267,25,44,Preventive,2023-05-09 20:09:21,2023-05-10 01:48:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,294.93,Completed,5.645,0
268,1,45,Corrective,2024-12-10 04:15:45,2024-12-10 07:15:46,Corrective repair performed following identified fault or performance degradation.,1573.83,Completed,3.0,1
269,30,61,Preventive,2023-07-04 10:47:11,2023-07-04 13:35:48,Routine scheduled preventive maintenance performed per manufacturer guidelines.,572.83,Completed,2.81,0
270,19,76,Preventive,2023-12-29 22:52:14,2023-12-30 01:37:58,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1459.79,Completed,2.762,0
271,27,27,Preventive,2025-04-02 14:09:47,2025-04-02 15:43:07,Routine scheduled preventive maintenance performed per manufacturer guidelines.,735.67,Completed,1.556,0
272,23,28,Emergency,2024-04-21 01:33:46,2024-04-21 23:47:22,Unplanned emergency repair following unexpected machine failure.,5475.57,Completed,22.227,1
273,29,22,Emergency,2025-04-16 20:08:34,2025-04-17 00:38:43,Unplanned emergency repair following unexpected machine failure.,14571.34,Completed,4.502,1
274,15,12,Corrective,2023-07-31 05:02:34,2023-07-31 16:21:05,Corrective repair performed following identified fault or performance degradation.,4893.28,Completed,11.309,1
275,29,29,Preventive,2025-07-08 10:54:19,2025-07-08 15:14:01,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1264.3,Completed,4.328,0
276,22,19,Preventive,2024-06-22 14:05:02,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1094.71,Cancelled,0.0,0
277,27,37,Emergency,2025-09-16 12:58:01,,Unplanned emergency repair following unexpected machine failure.,12650.08,Scheduled,0.0,1
278,25,54,Predictive,2023-07-17 18:21:22,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1799.74,Scheduled,0.0,0
279,8,5,Corrective,2024-01-24 03:13:08,2024-01-24 10:09:24,Corrective repair performed following identified fault or performance degradation.,5838.63,Completed,6.938,1
280,15,8,Predictive,2024-06-23 07:52:59,2024-06-23 15:13:27,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1520.8,Completed,7.341,0
281,15,10,Corrective,2024-11-20 20:18:32,,Corrective repair performed following identified fault or performance degradation.,1472.92,Cancelled,0.0,1
282,7,26,Preventive,2023-01-28 15:43:24,2023-01-28 19:03:37,Routine scheduled preventive maintenance performed per manufacturer guidelines.,757.97,Completed,3.337,0
283,7,69,Corrective,2024-06-13 19:47:48,,Corrective repair performed following identified fault or performance degradation.,4858.81,Cancelled,0.0,1
284,10,19,Preventive,2025-02-24 01:42:08,2025-02-24 05:10:34,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1411.14,Completed,3.474,0
285,12,15,Corrective,2023-06-25 15:19:02,,Corrective repair performed following identified fault or performance degradation.,1111.88,Scheduled,0.0,1
286,35,18,Predictive,2025-01-20 17:30:02,2025-01-20 23:54:24,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3056.44,Completed,6.406,0
287,24,37,Corrective,2023-06-11 10:16:09,2023-06-11 15:12:34,Corrective repair performed following identified fault or performance degradation.,1930.74,Completed,4.94,1
288,28,65,Predictive,2023-10-25 07:23:06,2023-10-25 14:18:14,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3275.35,Completed,6.919,0
289,26,46,Emergency,2025-03-08 07:03:19,2025-03-09 00:23:38,Unplanned emergency repair following unexpected machine failure.,3439.34,InProgress,17.339,1
290,26,76,Preventive,2025-11-07 12:13:29,2025-11-07 17:47:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1438.86,Completed,5.572,0
291,30,71,Emergency,2025-04-01 15:35:18,2025-04-01 20:47:40,Unplanned emergency repair following unexpected machine failure.,11475.85,Completed,5.206,1
292,2,44,Preventive,2025-07-18 09:55:56,2025-07-18 11:16:56,Routine scheduled preventive maintenance performed per manufacturer guidelines.,704.78,Completed,1.35,0
293,1,51,Predictive,2024-11-05 01:30:24,2024-11-05 06:07:15,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3568.86,Completed,4.614,0
294,35,17,Preventive,2024-02-20 01:41:48,2024-02-20 05:21:33,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1440.28,Completed,3.662,0
295,19,22,Preventive,2024-04-28 09:10:56,2024-04-28 11:11:37,Routine scheduled preventive maintenance performed per manufacturer guidelines.,569.38,Completed,2.011,0
296,15,55,Predictive,2024-07-21 01:49:42,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3722.19,Cancelled,0.0,0
297,15,67,Corrective,2024-10-07 11:41:11,,Corrective repair performed following identified fault or performance degradation.,1917.58,Scheduled,0.0,1
298,9,43,Preventive,2023-03-14 15:24:40,2023-03-14 17:53:36,Routine scheduled preventive maintenance performed per manufacturer guidelines.,367.75,Completed,2.482,0
299,5,16,Corrective,2025-08-07 03:13:33,2025-08-07 13:55:04,Corrective repair performed following identified fault or performance degradation.,1541.38,Completed,10.692,1
300,24,38,Preventive,2024-09-23 14:41:26,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,883.25,Cancelled,0.0,0
301,13,4,Corrective,2025-03-04 06:31:02,2025-03-04 12:48:33,Corrective repair performed following identified fault or performance degradation.,5641.39,Completed,6.292,1
302,31,4,Preventive,2024-10-20 08:25:36,2024-10-20 11:39:39,Routine scheduled preventive maintenance performed per manufacturer guidelines.,595.95,Completed,3.234,0
303,34,42,Corrective,2024-11-23 14:09:28,2024-11-24 00:19:22,Corrective repair performed following identified fault or performance degradation.,5519.84,Completed,10.165,1
304,32,80,Preventive,2023-07-21 14:23:10,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1359.75,Scheduled,0.0,0
305,27,13,Preventive,2025-09-07 21:12:19,2025-09-08 02:56:32,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1492.95,Completed,5.737,0
306,1,12,Preventive,2025-11-23 05:53:24,2025-11-23 07:08:53,Routine scheduled preventive maintenance performed per manufacturer guidelines.,518.6,InProgress,1.258,0
307,34,30,Preventive,2023-12-15 13:21:29,2023-12-15 18:53:12,Routine scheduled preventive maintenance performed per manufacturer guidelines.,632.59,Completed,5.529,0
308,31,34,Corrective,2024-10-21 16:46:00,2024-10-21 19:12:43,Corrective repair performed following identified fault or performance degradation.,2066.1,Completed,2.445,1
309,28,62,Preventive,2024-05-19 04:15:29,2024-05-19 08:53:22,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1007.63,Completed,4.631,0
310,11,65,Preventive,2023-03-30 04:17:58,2023-03-30 08:10:40,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1078.1,Completed,3.878,0
311,10,43,Predictive,2025-09-17 06:20:51,2025-09-17 13:00:23,Maintenance triggered by predictive analytics / sensor anomaly threshold.,769.33,Completed,6.659,0
312,15,69,Corrective,2023-07-03 17:10:25,2023-07-03 23:32:58,Corrective repair performed following identified fault or performance degradation.,1335.52,Completed,6.376,1
313,6,61,Predictive,2023-12-09 22:55:37,2023-12-10 06:38:12,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2520.38,Completed,7.71,0
314,14,30,Preventive,2023-10-21 01:56:26,2023-10-21 04:54:26,Routine scheduled preventive maintenance performed per manufacturer guidelines.,429.31,Completed,2.967,0
315,23,54,Corrective,2024-05-21 10:46:29,2024-05-21 17:42:37,Corrective repair performed following identified fault or performance degradation.,3349.69,Completed,6.936,1
316,24,32,Preventive,2023-06-24 15:09:06,2023-06-24 20:24:10,Routine scheduled preventive maintenance performed per manufacturer guidelines.,208.6,Completed,5.251,0
317,3,2,Preventive,2024-02-13 23:04:24,2024-02-14 01:05:32,Routine scheduled preventive maintenance performed per manufacturer guidelines.,452.5,Completed,2.019,0
318,19,70,Corrective,2024-05-11 21:09:08,2024-05-11 23:19:25,Corrective repair performed following identified fault or performance degradation.,1325.59,Completed,2.171,1
319,14,47,Corrective,2023-02-22 12:33:03,2023-02-22 21:37:28,Corrective repair performed following identified fault or performance degradation.,3153.64,Completed,9.074,1
320,21,10,Predictive,2024-10-07 23:35:26,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2834.02,Scheduled,0.0,0
321,11,70,Preventive,2025-08-26 00:27:45,2025-08-26 03:16:11,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1394.58,Completed,2.807,0
322,10,38,Preventive,2025-05-20 07:03:17,2025-05-20 08:32:02,Routine scheduled preventive maintenance performed per manufacturer guidelines.,871.48,InProgress,1.479,0
323,11,64,Preventive,2023-02-20 21:01:24,2023-02-20 23:25:19,Routine scheduled preventive maintenance performed per manufacturer guidelines.,413.59,Completed,2.399,0
324,33,11,Preventive,2025-10-29 06:05:50,2025-10-29 07:26:59,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1358.76,Completed,1.352,0
325,26,16,Emergency,2025-02-27 22:48:46,2025-02-28 15:09:05,Unplanned emergency repair following unexpected machine failure.,5498.66,Completed,16.339,1
326,14,5,Corrective,2023-03-28 09:27:15,2023-03-28 13:56:09,Corrective repair performed following identified fault or performance degradation.,1146.27,Completed,4.482,1
327,13,37,Preventive,2023-05-23 03:18:55,2023-05-23 06:36:56,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1200.72,Completed,3.3,0
328,9,65,Emergency,2024-06-15 23:20:35,,Unplanned emergency repair following unexpected machine failure.,9410.79,Scheduled,0.0,1
329,19,19,Corrective,2025-09-26 14:01:35,2025-09-26 21:20:42,Corrective repair performed following identified fault or performance degradation.,3263.51,Completed,7.319,1
330,22,13,Preventive,2023-04-29 12:54:38,2023-04-29 14:36:50,Routine scheduled preventive maintenance performed per manufacturer guidelines.,749.39,Completed,1.703,0
331,2,49,Preventive,2025-07-31 23:00:34,2025-08-01 03:53:24,Routine scheduled preventive maintenance performed per manufacturer guidelines.,662.58,Completed,4.881,0
332,17,48,Preventive,2024-11-19 11:11:25,2024-11-19 16:52:13,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1009.27,InProgress,5.68,0
333,17,78,Predictive,2025-10-05 18:27:55,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,861.16,Scheduled,0.0,0
334,6,40,Preventive,2023-08-16 15:31:30,2023-08-16 16:35:15,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1207.5,Completed,1.062,0
335,12,32,Preventive,2023-07-24 12:13:46,2023-07-24 17:35:57,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1492.86,InProgress,5.37,0
336,10,26,Corrective,2024-07-30 01:02:23,2024-07-30 09:37:33,Corrective repair performed following identified fault or performance degradation.,1770.09,Completed,8.586,1
337,23,8,Corrective,2024-09-12 04:35:58,2024-09-12 11:03:28,Corrective repair performed following identified fault or performance degradation.,2721.82,Completed,6.458,1
338,6,58,Preventive,2024-05-14 00:21:34,2024-05-14 03:57:32,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1156.52,Completed,3.599,0
339,10,61,Emergency,2025-07-29 11:54:23,2025-07-30 07:59:50,Unplanned emergency repair following unexpected machine failure.,2455.19,Completed,20.091,1
340,13,71,Emergency,2024-07-01 03:01:41,2024-07-01 09:27:06,Unplanned emergency repair following unexpected machine failure.,11697.79,Completed,6.424,1
341,31,79,Corrective,2025-07-19 02:23:03,2025-07-19 07:09:48,Corrective repair performed following identified fault or performance degradation.,3011.65,Completed,4.779,1
342,24,77,Corrective,2025-01-19 14:46:04,2025-01-19 22:49:43,Corrective repair performed following identified fault or performance degradation.,1560.32,Completed,8.061,1
343,15,79,Preventive,2025-08-09 20:59:31,2025-08-09 23:36:53,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1425.95,Completed,2.623,0
344,26,1,Emergency,2023-02-12 03:09:43,2023-02-12 10:33:46,Unplanned emergency repair following unexpected machine failure.,3670.46,Completed,7.401,1
345,25,35,Preventive,2025-06-23 06:38:01,2025-06-23 08:25:19,Routine scheduled preventive maintenance performed per manufacturer guidelines.,795.21,InProgress,1.788,0
346,27,15,Corrective,2023-05-19 12:45:29,2023-05-20 00:00:28,Corrective repair performed following identified fault or performance degradation.,4974.71,Completed,11.25,1
347,22,78,Corrective,2023-05-09 20:32:50,2023-05-10 04:29:19,Corrective repair performed following identified fault or performance degradation.,3688.05,InProgress,7.941,1
348,5,71,Corrective,2025-12-14 17:51:02,2025-12-14 20:22:44,Corrective repair performed following identified fault or performance degradation.,1437.85,Completed,2.528,1
349,27,78,Preventive,2025-09-04 19:38:05,2025-09-04 20:41:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,958.89,Completed,1.05,0
350,6,55,Preventive,2024-11-18 09:00:50,2024-11-18 11:08:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,914.39,Completed,2.121,0
351,7,39,Corrective,2023-02-09 20:59:22,2023-02-10 04:22:33,Corrective repair performed following identified fault or performance degradation.,5664.89,Completed,7.386,1
352,18,26,Corrective,2023-04-01 12:39:52,2023-04-01 16:22:24,Corrective repair performed following identified fault or performance degradation.,1791.61,Completed,3.709,1
353,34,7,Emergency,2023-03-15 15:32:14,2023-03-15 20:40:55,Unplanned emergency repair following unexpected machine failure.,6179.51,Completed,5.145,1
354,17,68,Preventive,2023-06-03 23:06:20,2023-06-04 02:24:52,Routine scheduled preventive maintenance performed per manufacturer guidelines.,898.9,Completed,3.309,0
355,2,27,Preventive,2023-04-21 07:54:28,2023-04-21 13:41:10,Routine scheduled preventive maintenance performed per manufacturer guidelines.,458.93,Completed,5.778,0
356,34,20,Emergency,2025-11-07 21:48:18,2025-11-08 19:24:38,Unplanned emergency repair following unexpected machine failure.,12746.8,Completed,21.606,1
357,34,37,Preventive,2025-12-14 10:06:55,2025-12-14 14:09:12,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1408.58,Completed,4.038,0
358,34,1,Corrective,2025-12-19 01:31:12,2025-12-19 12:00:08,Corrective repair performed following identified fault or performance degradation.,3803.02,Completed,10.482,1
359,19,62,Corrective,2025-08-03 08:48:30,,Corrective repair performed following identified fault or performance degradation.,4636.48,Cancelled,0.0,1
360,20,42,Preventive,2024-05-17 01:40:40,2024-05-17 05:45:16,Routine scheduled preventive maintenance performed per manufacturer guidelines.,792.84,Completed,4.077,0
361,32,8,Preventive,2025-09-28 08:15:22,2025-09-28 12:50:47,Routine scheduled preventive maintenance performed per manufacturer guidelines.,675.97,Completed,4.59,0
362,6,77,Preventive,2024-02-12 14:53:49,2024-02-12 19:00:40,Routine scheduled preventive maintenance performed per manufacturer guidelines.,871.69,Completed,4.114,0
363,17,25,Corrective,2025-07-28 00:59:17,2025-07-28 12:57:00,Corrective repair performed following identified fault or performance degradation.,3009.35,Completed,11.962,1
364,34,75,Corrective,2025-04-21 23:50:18,2025-04-22 04:02:06,Corrective repair performed following identified fault or performance degradation.,3452.31,Completed,4.197,1
365,20,63,Preventive,2024-09-28 12:02:24,2024-09-28 16:11:45,Routine scheduled preventive maintenance performed per manufacturer guidelines.,822.83,Completed,4.156,0
366,4,80,Predictive,2024-05-17 19:51:34,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1323.6,Scheduled,0.0,0
